year,location,crop,season,soil_type,soil_awc_mm,duration_days,rainfall_tot_mm,effective_rain_mm,etc_mm,irrigation_supply_ratio,water_deficit_ratio,irrigation_applied_m3_ha,max_dry_spell_days,extreme_heat_days,mean_temp_c,mean_solar_rad_mj,gdd,yield_quintal_ha,yield_kg_ha
2014,solapur,Cotton,Kharif,Medium Black (Vertisol),180.0,165,425.8,207.8,658.1,0.0,0.684,0.0,56,78,28.69,21.49,3083.7,7.67,767.0
2014,solapur,Cotton,Kharif,Medium Black (Vertisol),180.0,165,425.8,207.8,658.1,0.5,0.4,3122.5,56,78,28.69,21.49,3083.7,12.35,1235.0
2014,solapur,Cotton,Kharif,Medium Black (Vertisol),180.0,165,425.8,207.8,658.1,1.0,0.115,6245.0,56,78,28.69,21.49,3083.7,17.4,1740.0
2014,solapur,Cotton,Kharif,Deep Black (Heavy Vertisol),200.0,165,425.8,207.8,658.1,0.0,0.684,0.0,56,78,28.69,21.49,3083.7,8.06,806.0
2014,solapur,Cotton,Kharif,Deep Black (Heavy Vertisol),200.0,165,425.8,207.8,658.1,0.5,0.406,3052.5,56,78,28.69,21.49,3083.7,15.56,1556.0
2014,solapur,Cotton,Kharif,Deep Black (Heavy Vertisol),200.0,165,425.8,207.8,658.1,1.0,0.128,6105.0,56,78,28.69,21.49,3083.7,21.29,2129.0
2014,solapur,Cotton,Kharif,Light Loam (Sandy Loam),140.0,165,425.8,207.8,658.1,0.0,0.684,0.0,56,78,28.69,21.49,3083.7,5.6,560.0
2014,solapur,Cotton,Kharif,Light Loam (Sandy Loam),140.0,165,425.8,207.8,658.1,0.5,0.387,3262.5,56,78,28.69,21.49,3083.7,11.4,1140.0
2014,solapur,Cotton,Kharif,Light Loam (Sandy Loam),140.0,165,425.8,207.8,658.1,1.0,0.089,6525.0,56,78,28.69,21.49,3083.7,19.2,1920.0
2014,solapur,Soybean,Kharif,Medium Black (Vertisol),180.0,105,311.3,143.4,445.4,0.0,0.678,0.0,56,26,26.37,20.6,1719.0,10.27,1027.0
2014,solapur,Soybean,Kharif,Medium Black (Vertisol),180.0,105,311.3,143.4,445.4,0.5,0.375,2247.5,56,26,26.37,20.6,1719.0,17.08,1708.0
2014,solapur,Soybean,Kharif,Medium Black (Vertisol),180.0,105,311.3,143.4,445.4,1.0,0.073,4495.0,56,26,26.37,20.6,1719.0,20.27,2027.0
2014,solapur,Soybean,Kharif,Deep Black (Heavy Vertisol),200.0,105,311.3,143.4,445.4,0.0,0.678,0.0,56,26,26.37,20.6,1719.0,11.75,1175.0
2014,solapur,Soybean,Kharif,Deep Black (Heavy Vertisol),200.0,105,311.3,143.4,445.4,0.5,0.379,2217.5,56,26,26.37,20.6,1719.0,16.72,1672.0
2014,solapur,Soybean,Kharif,Deep Black (Heavy Vertisol),200.0,105,311.3,143.4,445.4,1.0,0.081,4435.0,56,26,26.37,20.6,1719.0,23.02,2302.0
2014,solapur,Soybean,Kharif,Light Loam (Sandy Loam),140.0,105,311.3,143.4,445.4,0.0,0.678,0.0,56,26,26.37,20.6,1719.0,9.16,916.0
2014,solapur,Soybean,Kharif,Light Loam (Sandy Loam),140.0,105,311.3,143.4,445.4,0.5,0.367,2307.5,56,26,26.37,20.6,1719.0,15.97,1597.0
2014,solapur,Soybean,Kharif,Light Loam (Sandy Loam),140.0,105,311.3,143.4,445.4,1.0,0.056,4615.0,56,26,26.37,20.6,1719.0,22.01,2201.0
2014,solapur,Maize,Kharif,Medium Black (Vertisol),180.0,110,316.7,145.8,458.7,0.0,0.682,0.0,56,30,26.64,20.63,1830.5,14.27,1427.0
2014,solapur,Maize,Kharif,Medium Black (Vertisol),180.0,110,316.7,145.8,458.7,0.5,0.39,2234.0,56,30,26.64,20.63,1830.5,13.3,1330.0
2014,solapur,Maize,Kharif,Medium Black (Vertisol),180.0,110,316.7,145.8,458.7,1.0,0.098,4468.0,56,30,26.64,20.63,1830.5,40.04,4004.0
2014,solapur,Maize,Kharif,Deep Black (Heavy Vertisol),200.0,110,316.7,145.8,458.7,0.0,0.682,0.0,56,30,26.64,20.63,1830.5,11.63,1163.0
2014,solapur,Maize,Kharif,Deep Black (Heavy Vertisol),200.0,110,316.7,145.8,458.7,0.5,0.395,2192.5,56,30,26.64,20.63,1830.5,20.06,2006.0
2014,solapur,Maize,Kharif,Deep Black (Heavy Vertisol),200.0,110,316.7,145.8,458.7,1.0,0.109,4385.0,56,30,26.64,20.63,1830.5,40.45,4045.0
2014,solapur,Maize,Kharif,Light Loam (Sandy Loam),140.0,110,316.7,145.8,458.7,0.0,0.682,0.0,56,30,26.64,20.63,1830.5,19.47,1947.0
2014,solapur,Maize,Kharif,Light Loam (Sandy Loam),140.0,110,316.7,145.8,458.7,0.5,0.379,2317.5,56,30,26.64,20.63,1830.5,17.9,1790.0
2014,solapur,Maize,Kharif,Light Loam (Sandy Loam),140.0,110,316.7,145.8,458.7,1.0,0.076,4635.0,56,30,26.64,20.63,1830.5,36.33,3633.0
2014,solapur,Gram,Rabi / Late Kharif,Medium Black (Vertisol),180.0,100,182.2,111.2,312.7,0.0,0.644,0.0,56,21,26.1,20.29,1610.1,9.51,951.0
2014,solapur,Gram,Rabi / Late Kharif,Medium Black (Vertisol),180.0,100,182.2,111.2,312.7,0.5,0.35,1536.0,56,21,26.1,20.29,1610.1,13.88,1388.0
2014,solapur,Gram,Rabi / Late Kharif,Medium Black (Vertisol),180.0,100,182.2,111.2,312.7,1.0,0.055,3072.0,56,21,26.1,20.29,1610.1,21.13,2113.0
2014,solapur,Gram,Rabi / Late Kharif,Deep Black (Heavy Vertisol),200.0,100,182.2,111.2,312.7,0.0,0.644,0.0,56,21,26.1,20.29,1610.1,9.6,960.0
2014,solapur,Gram,Rabi / Late Kharif,Deep Black (Heavy Vertisol),200.0,100,182.2,111.2,312.7,0.5,0.359,1486.0,56,21,26.1,20.29,1610.1,15.77,1577.0
2014,solapur,Gram,Rabi / Late Kharif,Deep Black (Heavy Vertisol),200.0,100,182.2,111.2,312.7,1.0,0.074,2972.0,56,21,26.1,20.29,1610.1,22.4,2240.0
2014,solapur,Gram,Rabi / Late Kharif,Light Loam (Sandy Loam),140.0,100,182.2,111.2,312.7,0.0,0.644,0.0,56,21,26.1,20.29,1610.1,7.38,738.0
