date,year,month,day,day_of_year,precipitation_mm,temp_max_c,temp_min_c,temp_mean_c,rh_pct,solar_rad_mj_m2,wind_speed_m_s
2014-01-01,2014,1,1,1,0.0,27.73,13.31,19.93,65.52,17.07,2.17
2014-01-02,2014,1,2,2,0.0,27.84,14.07,20.27,61.93,16.91,2.58
2014-01-03,2014,1,3,3,0.0,27.92,13.81,20.13,63.11,16.76,2.05
2014-01-04,2014,1,4,4,0.0,28.3,13.82,19.94,66.36,16.55,1.64
2014-01-05,2014,1,5,5,0.0,27.11,13.85,18.91,68.96,16.65,1.47
2014-01-06,2014,1,6,6,0.0,27.67,11.24,18.74,51.75,17.96,1.2
2014-01-07,2014,1,7,7,0.0,29.27,13.22,20.22,62.73,17.69,1.85
2014-01-08,2014,1,8,8,0.0,29.38,13.48,20.12,61.99,17.42,2.11
2014-01-09,2014,1,9,9,0.0,29.47,13.77,19.9,66.45,17.97,1.51
2014-01-10,2014,1,10,10,0.0,27.47,11.75,18.36,57.89,17.46,1.95
2014-01-11,2014,1,11,11,0.0,26.55,9.34,16.41,54.35,18.39,1.53
2014-01-12,2014,1,12,12,0.0,29.05,10.16,18.4,59.8,18.56,1.97
2014-01-13,2014,1,13,13,0.0,29.31,12.7,20.07,69.68,16.51,1.4
2014-01-14,2014,1,14,14,0.0,29.41,14.41,20.46,68.18,15.26,1.4
2014-01-15,2014,1,15,15,0.0,29.36,14.56,20.19,61.55,17.49,1.52
2014-01-16,2014,1,16,16,0.0,29.26,12.99,19.89,55.4,17.59,2.01
2014-01-17,2014,1,17,17,0.0,26.73,13.69,19.34,64.21,17.41,2.11
2014-01-18,2014,1,18,18,0.0,27.31,10.39,18.2,58.66,19.09,1.4
2014-01-19,2014,1,19,19,0.0,29.41,12.94,19.88,59.46,19.04,2.0
2014-01-20,2014,1,20,20,0.0,28.36,14.07,21.15,60.29,14.4,1.49
2014-01-21,2014,1,21,21,0.15,26.71,16.27,20.93,64.9,11.42,1.71
2014-01-22,2014,1,22,22,0.04,28.95,16.44,21.69,63.09,17.13,2.19
2014-01-23,2014,1,23,23,0.32,28.94,16.17,21.34,68.1,15.37,2.06
2014-01-24,2014,1,24,24,0.06,27.5,16.59,21.17,66.08,14.92,1.0
2014-01-25,2014,1,25,25,0.0,29.62,15.56,22.11,60.75,16.72,1.97
2014-01-26,2014,1,26,26,0.0,29.76,15.72,22.1,57.99,15.33,2.62
2014-01-27,2014,1,27,27,0.0,29.1,15.41,21.27,52.04,16.39,3.37
2014-01-28,2014,1,28,28,0.0,28.72,13.44,20.44,44.52,18.71,2.71
2014-01-29,2014,1,29,29,0.0,29.38,12.75,20.48,44.3,18.29,1.96
2014-01-30,2014,1,30,30,0.0,29.6,13.99,21.8,46.83,16.78,1.96
2014-01-31,2014,1,31,31,0.0,29.39,14.87,21.52,45.02,16.27,2.59
2014-02-01,2014,2,1,32,0.0,29.67,14.26,21.22,42.79,17.47,2.68
2014-02-02,2014,2,2,33,0.0,29.17,14.6,21.33,45.47,16.84,2.4
2014-02-03,2014,2,3,34,0.0,30.95,14.49,21.63,46.79,18.89,1.55
2014-02-04,2014,2,4,35,0.0,32.08,13.75,21.88,46.7,18.7,1.64
