date,year,month,day,day_of_year,precipitation_mm,temp_max_c,temp_min_c,temp_mean_c,rh_pct,solar_rad_mj_m2,wind_speed_m_s
2014-01-01,2014,1,1,1,0.0,30.16,15.41,22.12,57.02,17.09,3.0
2014-01-02,2014,1,2,2,0.0,30.64,14.26,21.8,49.42,17.57,2.48
2014-01-03,2014,1,3,3,0.0,30.67,13.65,21.77,49.0,18.05,1.93
2014-01-04,2014,1,4,4,0.0,31.43,14.28,22.36,46.97,17.72,2.2
2014-01-05,2014,1,5,5,0.0,31.7,14.56,23.01,48.35,17.7,2.06
2014-01-06,2014,1,6,6,0.0,31.69,15.59,23.07,47.22,17.52,1.44
2014-01-07,2014,1,7,7,0.0,32.07,15.16,23.05,46.3,17.77,2.5
2014-01-08,2014,1,8,8,0.0,31.82,15.39,22.75,43.51,18.72,3.02
2014-01-09,2014,1,9,9,0.0,32.21,14.75,22.87,47.3,18.31,2.32
2014-01-10,2014,1,10,10,0.0,32.7,14.93,23.42,44.3,18.47,2.14
2014-01-11,2014,1,11,11,0.0,31.86,13.9,22.81,42.87,18.17,1.25
2014-01-12,2014,1,12,12,0.0,32.27,16.1,24.2,45.19,18.1,2.17
2014-01-13,2014,1,13,13,0.0,32.14,15.97,23.83,44.22,17.56,2.32
2014-01-14,2014,1,14,14,0.0,31.83,16.05,23.75,43.89,16.77,2.32
2014-01-15,2014,1,15,15,0.0,31.82,16.59,24.12,45.37,17.18,2.05
2014-01-16,2014,1,16,16,0.0,32.32,16.58,24.76,45.48,16.75,2.05
2014-01-17,2014,1,17,17,0.0,31.73,19.1,25.33,45.46,15.5,2.79
2014-01-18,2014,1,18,18,0.0,31.7,18.35,25.05,46.37,16.9,1.85
2014-01-19,2014,1,19,19,0.0,31.97,18.09,24.95,48.24,18.54,2.93
2014-01-20,2014,1,20,20,0.0,31.88,17.36,24.31,43.98,18.56,3.7
2014-01-21,2014,1,21,21,0.0,31.07,19.01,24.36,46.59,15.14,3.49
2014-01-22,2014,1,22,22,0.0,31.35,18.5,24.55,46.92,17.41,3.03
2014-01-23,2014,1,23,23,0.11,29.68,18.05,23.92,50.04,12.32,2.56
2014-01-24,2014,1,24,24,0.0,28.39,19.45,23.49,52.04,13.12,2.17
2014-01-25,2014,1,25,25,0.0,32.02,18.09,24.81,47.01,17.69,2.31
2014-01-26,2014,1,26,26,0.0,31.55,18.26,24.96,44.53,15.7,2.88
2014-01-27,2014,1,27,27,0.0,31.2,16.53,23.49,40.44,16.0,3.03
2014-01-28,2014,1,28,28,0.0,30.86,14.61,22.39,41.0,19.6,2.11
2014-01-29,2014,1,29,29,0.0,30.5,15.38,22.74,46.16,16.3,2.19
2014-01-30,2014,1,30,30,0.0,30.43,16.68,23.25,42.93,16.4,2.65
2014-01-31,2014,1,31,31,0.0,30.98,15.4,22.76,37.97,17.54,2.64
2014-02-01,2014,2,1,32,0.0,31.29,15.12,22.7,37.77,18.72,2.49
2014-02-02,2014,2,2,33,0.0,31.48,15.77,23.33,42.91,18.73,2.29
2014-02-03,2014,2,3,34,0.0,33.03,16.35,24.5,37.82,19.09,1.66
2014-02-04,2014,2,4,35,0.0,34.03,15.37,24.79,26.96,20.3,1.56
2014-02-05,2014,2,5,36,0.0,34.18,15.73,24.89,25.73,20.32,1.41
2014-02-06,2014,2,6,37,0.0,34.82,15.61,24.96,28.4,20.41,1.96
2014-02-07,2014,2,7,38,0.0,34.56,16.44,25.34,26.33,20.21,1.04
2014-02-08,2014,2,8,39,0.0,34.65,16.26,25.66,26.14,21.32,1.24
2014-02-09,2014,2,9,40,0.0,34.75,15.04,24.28,28.02,22.63,2.04
2014-02-10,2014,2,10,41,0.0,33.41,13.5,22.9,20.3,23.18,2.43
2014-02-11,2014,2,11,42,0.0,32.8,13.26,23.38,23.14,22.78,1.78
2014-02-12,2014,2,12,43,0.0,33.46,14.44,24.19,29.56,21.96,1.63
2014-02-13,2014,2,13,44,0.0,30.88,15.71,23.43,50.05,15.44,2.94
2014-02-14,2014,2,14,45,0.0,32.39,15.99,23.43,51.36,21.06,3.25
2014-02-15,2014,2,15,46,0.0,31.65,14.27,22.66,48.0,20.81,4.0
2014-02-16,2014,2,16,47,0.0,30.04,14.81,21.99,44.77,23.25,2.37
2014-02-17,2014,2,17,48,0.0,33.22,13.9,23.41,29.28,23.22,2.54
2014-02-18,2014,2,18,49,0.0,33.2,14.17,23.6,24.94,22.71,2.59
2014-02-19,2014,2,19,50,0.0,33.64,15.9,25.12,37.94,19.99,2.55
2014-02-20,2014,2,20,51,0.0,34.01,19.63,27.12,43.34,18.76,2.37
2014-02-21,2014,2,21,52,0.0,32.41,21.11,27.01,51.96,15.87,1.64
2014-02-22,2014,2,22,53,0.0,33.17,20.66,27.01,49.21,18.14,1.41
2014-02-23,2014,2,23,54,0.0,34.59,22.28,28.31,39.08,20.38,2.34
2014-02-24,2014,2,24,55,0.0,35.11,20.24,27.37,36.95,22.66,3.89
2014-02-25,2014,2,25,56,0.0,35.33,19.22,26.91,34.3,23.44,3.54
2014-02-26,2014,2,26,57,6.82,34.84,18.02,27.09,35.83,17.7,2.02
2014-02-27,2014,2,27,58,8.25,30.73,22.27,26.06,59.87,18.63,2.01
2014-02-28,2014,2,28,59,0.08,30.74,18.61,24.59,58.38,19.28,2.08
2014-03-01,2014,3,1,60,0.0,31.47,14.89,22.26,43.15,24.49,2.21
2014-03-02,2014,3,2,61,0.0,32.42,12.37,22.58,41.86,24.19,2.06
2014-03-03,2014,3,3,62,12.19,30.06,18.98,24.0,63.9,14.24,3.13
2014-03-04,2014,3,4,63,4.41,30.67,18.09,24.09,66.91,18.63,2.47
2014-03-05,2014,3,5,64,1.67,31.3,18.12,24.34,65.79,15.67,3.01
2014-03-06,2014,3,6,65,0.11,32.4,19.05,25.15,60.26,20.48,2.27
2014-03-07,2014,3,7,66,0.48,31.33,18.66,24.75,60.33,19.56,2.63
2014-03-08,2014,3,8,67,6.81,32.32,19.86,25.57,62.76,19.15,2.59
2014-03-09,2014,3,9,68,7.66,30.23,18.44,23.85,66.76,19.01,3.35
2014-03-10,2014,3,10,69,4.02,32.15,19.02,25.48,63.31,22.68,2.61
2014-03-11,2014,3,11,70,0.44,33.43,20.08,26.42,56.52,22.78,2.77
2014-03-12,2014,3,12,71,0.38,30.29,20.12,24.76,59.36,18.28,3.12
2014-03-13,2014,3,13,72,0.18,34.71,19.01,26.5,50.83,23.83,2.46
2014-03-14,2014,3,14,73,0.0,35.32,17.78,26.58,50.83,25.33,2.25
2014-03-15,2014,3,15,74,0.0,35.75,19.84,27.6,46.45,24.92,2.43
2014-03-16,2014,3,16,75,0.0,36.09,20.05,28.04,45.39,23.46,2.28
2014-03-17,2014,3,17,76,0.0,35.59,22.41,29.03,44.98,20.66,2.05
2014-03-18,2014,3,18,77,0.0,36.95,22.54,29.61,40.22,20.8,1.77
2014-03-19,2014,3,19,78,0.0,37.83,22.94,29.89,37.58,22.74,2.27
2014-03-20,2014,3,20,79,0.0,38.52,22.25,30.0,34.66,23.17,1.67
2014-03-21,2014,3,21,80,0.0,38.77,23.09,30.56,30.08,24.64,0.92
2014-03-22,2014,3,22,81,0.0,38.53,20.34,29.82,24.1,24.97,1.76
2014-03-23,2014,3,23,82,0.0,38.86,18.98,29.75,26.42,24.84,1.35
2014-03-24,2014,3,24,83,0.0,38.37,24.41,31.01,30.17,22.38,2.36
2014-03-25,2014,3,25,84,0.0,38.58,22.15,30.73,31.9,22.42,1.57
2014-03-26,2014,3,26,85,0.0,39.47,23.25,31.36,27.34,25.31,2.58
2014-03-27,2014,3,27,86,0.0,39.88,23.93,31.54,25.78,24.74,3.41
2014-03-28,2014,3,28,87,0.0,39.48,22.37,31.18,29.22,24.6,1.0
2014-03-29,2014,3,29,88,0.0,39.93,23.77,32.08,22.94,24.87,0.94
2014-03-30,2014,3,30,89,0.0,40.66,24.1,32.56,23.03,24.15,1.27
2014-03-31,2014,3,31,90,0.0,40.65,24.65,32.64,26.99,23.0,1.86
2014-04-01,2014,4,1,91,0.01,40.06,23.75,31.76,26.25,24.6,2.65
2014-04-02,2014,4,2,92,0.0,39.88,21.62,30.87,21.36,26.34,2.53
2014-04-03,2014,4,3,93,0.0,39.64,22.09,31.04,21.99,25.49,2.15
2014-04-04,2014,4,4,94,0.0,40.35,22.74,31.85,23.53,23.78,2.46
2014-04-05,2014,4,5,95,0.0,40.34,24.42,32.5,26.79,23.63,1.54
2014-04-06,2014,4,6,96,0.0,40.69,25.76,32.89,24.22,23.24,2.02
2014-04-07,2014,4,7,97,0.0,40.91,25.6,33.54,24.86,22.4,1.52
2014-04-08,2014,4,8,98,0.01,40.14,26.63,32.56,30.64,21.98,3.92
2014-04-09,2014,4,9,99,0.6,37.29,25.55,31.22,32.56,20.1,1.47
2014-04-10,2014,4,10,100,0.0,39.89,23.72,32.07,24.9,26.06,0.94
2014-04-11,2014,4,11,101,0.0,40.13,22.69,31.64,19.85,27.34,2.75
2014-04-12,2014,4,12,102,0.0,40.16,21.27,31.22,20.09,27.78,2.37
2014-04-13,2014,4,13,103,0.0,40.35,20.82,31.31,22.39,27.57,1.9
2014-04-14,2014,4,14,104,0.54,40.2,21.71,31.88,28.51,26.49,1.35
2014-04-15,2014,4,15,105,1.61,39.77,24.88,32.81,32.17,24.75,2.43
2014-04-16,2014,4,16,106,1.68,39.73,27.45,33.14,33.25,22.44,1.65
2014-04-17,2014,4,17,107,1.47,39.24,26.3,33.07,36.21,21.53,1.66
2014-04-18,2014,4,18,108,3.4,36.0,26.0,30.92,43.92,18.18,2.01
2014-04-19,2014,4,19,109,1.25,38.42,25.29,31.92,40.58,18.92,1.9
2014-04-20,2014,4,20,110,0.3,38.82,26.19,32.46,40.32,24.99,1.82
2014-04-21,2014,4,21,111,0.3,38.52,24.71,31.6,39.18,25.63,3.13
2014-04-22,2014,4,22,112,0.25,39.42,25.51,32.44,34.27,24.99,1.71
2014-04-23,2014,4,23,113,0.0,40.38,24.49,33.21,29.68,24.88,1.37
2014-04-24,2014,4,24,114,1.08,40.52,27.81,34.32,31.05,23.38,1.31
2014-04-25,2014,4,25,115,0.38,40.05,27.93,34.32,32.24,23.93,1.16
2014-04-26,2014,4,26,116,0.32,41.23,27.83,34.6,27.7,18.98,2.29
2014-04-27,2014,4,27,117,0.52,40.75,27.23,34.39,32.44,21.24,1.97
2014-04-28,2014,4,28,118,1.19,38.93,28.54,33.59,34.43,23.22,2.86
2014-04-29,2014,4,29,119,0.02,39.66,27.39,33.75,33.33,21.61,1.92
2014-04-30,2014,4,30,120,1.17,40.14,27.73,33.53,35.36,18.44,2.03
2014-05-01,2014,5,1,121,0.83,40.62,26.59,33.45,38.29,22.9,2.34
2014-05-02,2014,5,2,122,1.31,41.82,27.98,34.99,31.5,25.66,2.06
2014-05-03,2014,5,3,123,3.69,40.16,26.62,33.7,37.2,21.71,1.61
2014-05-04,2014,5,4,124,0.13,39.51,26.84,33.46,37.22,26.76,1.24
2014-05-05,2014,5,5,125,1.02,39.68,26.73,33.35,34.5,25.54,1.93
2014-05-06,2014,5,6,126,0.05,38.95,26.76,33.02,38.37,25.68,3.37
2014-05-07,2014,5,7,127,0.36,36.82,27.22,31.98,42.28,21.7,4.05
2014-05-08,2014,5,8,128,9.62,37.04,24.68,30.61,47.39,17.32,2.94
2014-05-09,2014,5,9,129,1.67,33.96,23.07,28.25,59.0,20.51,2.16
2014-05-10,2014,5,10,130,0.25,38.57,24.24,30.7,49.92,25.21,2.87
2014-05-11,2014,5,11,131,0.0,38.31,22.63,30.57,39.09,27.38,2.53
2014-05-12,2014,5,12,132,0.0,38.92,22.58,30.95,35.62,27.78,2.55
2014-05-13,2014,5,13,133,0.0,39.53,23.64,31.75,35.27,28.27,2.72
2014-05-14,2014,5,14,134,0.0,39.38,24.01,32.0,35.36,27.27,2.93
2014-05-15,2014,5,15,135,0.1,39.55,24.78,32.63,35.94,26.49,2.83
2014-05-16,2014,5,16,136,0.02,39.41,26.88,33.44,33.43,24.9,2.64
2014-05-17,2014,5,17,137,0.13,39.2,28.3,33.68,32.72,20.35,2.3
2014-05-18,2014,5,18,138,0.03,40.99,27.92,34.83,32.44,22.19,2.36
2014-05-19,2014,5,19,139,0.31,40.67,29.69,34.98,34.21,20.76,2.0
2014-05-20,2014,5,20,140,0.79,37.63,27.91,31.78,48.21,18.74,2.08
2014-05-21,2014,5,21,141,0.1,38.47,27.86,32.11,46.89,23.33,2.42
2014-05-22,2014,5,22,142,0.02,41.51,25.76,33.66,38.39,22.74,3.9
2014-05-23,2014,5,23,143,0.0,41.99,25.82,34.34,32.46,25.23,3.5
2014-05-24,2014,5,24,144,0.0,42.93,27.06,35.06,29.55,25.42,3.18
2014-05-25,2014,5,25,145,0.0,41.75,26.14,34.62,29.22,25.91,3.98
2014-05-26,2014,5,26,146,0.34,39.85,28.63,34.06,37.37,23.36,4.51
2014-05-27,2014,5,27,147,18.4,37.36,27.55,32.17,52.18,18.89,2.37
2014-05-28,2014,5,28,148,0.23,39.33,25.09,32.29,53.6,24.28,1.96
2014-05-29,2014,5,29,149,0.17,39.78,25.96,32.87,49.94,23.84,3.01
2014-05-30,2014,5,30,150,0.79,39.55,26.59,32.89,49.2,18.01,3.27
2014-05-31,2014,5,31,151,0.01,40.36,26.49,32.87,42.41,22.61,3.37
2014-06-01,2014,6,1,152,0.0,41.91,25.3,33.68,38.3,25.63,2.91
2014-06-02,2014,6,2,153,0.52,42.06,27.42,34.34,38.82,21.92,4.34
2014-06-03,2014,6,3,154,0.26,38.7,27.99,33.39,42.44,12.39,2.31
2014-06-04,2014,6,4,155,0.38,40.03,27.18,33.41,45.92,24.54,3.42
2014-06-05,2014,6,5,156,1.44,40.35,27.13,33.69,45.21,25.14,3.26
2014-06-06,2014,6,6,157,10.37,38.94,27.01,32.19,52.42,24.99,4.5
2014-06-07,2014,6,7,158,0.27,39.09,25.41,31.59,54.23,24.1,4.2
2014-06-08,2014,6,8,159,0.0,37.55,26.05,31.27,52.76,23.97,4.67
2014-06-09,2014,6,9,160,0.8,37.78,25.34,31.16,55.03,15.5,4.23
2014-06-10,2014,6,10,161,0.09,39.21,24.89,31.56,52.29,25.17,4.45
2014-06-11,2014,6,11,162,0.0,39.57,25.07,31.34,52.24,24.41,5.47
2014-06-12,2014,6,12,163,0.0,38.88,24.65,30.93,52.38,25.04,5.02
2014-06-13,2014,6,13,164,0.01,38.45,24.1,30.65,50.21,24.26,5.47
2014-06-14,2014,6,14,165,0.44,39.36,24.61,31.17,51.06,22.76,5.14
2014-06-15,2014,6,15,166,0.15,37.62,24.77,30.28,54.32,21.55,5.98
2014-06-16,2014,6,16,167,0.15,37.27,24.9,30.18,59.26,20.53,5.9
2014-06-17,2014,6,17,168,0.04,37.67,25.51,30.44,55.63,21.13,5.14
2014-06-18,2014,6,18,169,0.14,37.28,24.9,30.12,55.53,19.99,5.93
2014-06-19,2014,6,19,170,3.92,34.21,25.28,29.02,61.63,13.55,5.78
2014-06-20,2014,6,20,171,0.36,35.4,24.43,29.35,59.8,18.71,6.06
2014-06-21,2014,6,21,172,0.02,36.35,24.46,29.73,57.82,17.79,6.49
2014-06-22,2014,6,22,173,0.0,36.8,24.56,30.05,56.62,18.55,6.61
2014-06-23,2014,6,23,174,0.0,37.66,24.37,30.32,55.41,21.55,6.36
2014-06-24,2014,6,24,175,0.0,39.27,24.15,30.64,53.53,24.15,6.38
2014-06-25,2014,6,25,176,0.16,39.11,24.54,30.87,51.26,23.84,6.1
2014-06-26,2014,6,26,177,0.01,39.34,23.95,31.59,48.28,24.99,4.53
2014-06-27,2014,6,27,178,0.01,38.46,25.46,32.22,44.08,23.64,3.86
2014-06-28,2014,6,28,179,0.0,38.04,26.56,32.28,43.79,21.74,3.78
2014-06-29,2014,6,29,180,0.0,39.09,26.18,32.26,41.58,23.7,4.83
2014-06-30,2014,6,30,181,0.0,38.45,25.4,31.62,45.2,24.81,4.94
2014-07-01,2014,7,1,182,0.37,39.39,25.2,31.88,45.67,24.75,5.07
2014-07-02,2014,7,2,183,3.86,37.53,24.85,30.71,49.86,23.92,5.56
2014-07-03,2014,7,3,184,0.12,37.14,24.24,29.58,56.48,20.81,5.21
2014-07-04,2014,7,4,185,6.83,31.24,24.59,27.48,64.9,16.39,4.03
2014-07-05,2014,7,5,186,0.89,34.54,24.02,28.68,63.43,21.72,3.48
2014-07-06,2014,7,6,187,0.55,32.93,24.72,28.22,64.99,20.26,3.48
2014-07-07,2014,7,7,188,22.09,32.02,24.25,26.95,72.26,20.6,3.7
2014-07-08,2014,7,8,189,0.99,31.51,23.24,26.66,71.38,15.16,3.82
2014-07-09,2014,7,9,190,1.08,32.19,22.84,26.77,69.27,15.59,4.16
2014-07-10,2014,7,10,191,1.64,32.13,22.09,26.55,69.23,13.71,5.2
2014-07-11,2014,7,11,192,0.41,31.38,22.85,26.58,68.01,15.32,5.92
2014-07-12,2014,7,12,193,2.36,31.43,22.13,26.27,70.17,18.31,6.11
2014-07-13,2014,7,13,194,0.94,32.32,23.27,27.23,71.38,18.67,5.4
2014-07-14,2014,7,14,195,1.99,32.85,23.12,27.19,70.81,15.38,5.22
2014-07-15,2014,7,15,196,5.38,31.13,23.89,26.8,74.34,14.23,6.6
2014-07-16,2014,7,16,197,1.43,33.1,23.09,27.13,68.79,15.81,7.44
2014-07-17,2014,7,17,198,1.02,33.12,24.05,27.76,68.71,18.37,7.35
2014-07-18,2014,7,18,199,1.22,32.45,24.04,27.33,71.01,16.89,7.02
2014-07-19,2014,7,19,200,0.84,32.1,23.56,26.87,70.65,15.96,6.94
2014-07-20,2014,7,20,201,0.38,32.34,23.4,26.84,70.71,12.58,6.44
2014-07-21,2014,7,21,202,4.25,32.0,23.03,26.85,71.0,12.81,6.2
2014-07-22,2014,7,22,203,7.06,29.46,23.21,25.56,77.15,10.59,6.47
2014-07-23,2014,7,23,204,4.94,30.4,23.25,26.22,74.41,11.33,7.73
2014-07-24,2014,7,24,205,0.87,34.45,22.77,27.6,67.47,21.73,6.45
2014-07-25,2014,7,25,206,2.0,34.94,22.53,27.76,67.7,21.19,5.02
2014-07-26,2014,7,26,207,0.9,35.0,22.47,27.98,66.87,20.51,5.13
2014-07-27,2014,7,27,208,5.07,33.85,22.52,27.2,70.01,15.27,5.64
2014-07-28,2014,7,28,209,3.57,30.22,23.43,26.0,76.09,10.85,6.23
2014-07-29,2014,7,29,210,3.92,29.19,22.85,25.53,75.58,9.49,6.6
2014-07-30,2014,7,30,211,5.57,29.09,23.11,25.61,80.01,12.26,5.91
2014-07-31,2014,7,31,212,2.39,29.71,23.01,26.02,79.59,14.95,4.96
2014-08-01,2014,8,1,213,0.24,33.83,22.91,27.45,71.0,18.26,5.35
2014-08-02,2014,8,2,214,0.32,34.15,22.39,27.43,68.71,17.68,6.12
2014-08-03,2014,8,3,215,0.73,34.39,22.72,27.61,67.99,19.66,5.98
2014-08-04,2014,8,4,216,5.4,33.27,22.77,26.98,72.35,15.43,5.61
2014-08-05,2014,8,5,217,6.33,31.28,22.99,26.39,73.26,14.01,5.96
2014-08-06,2014,8,6,218,2.98,34.14,22.03,26.92,70.36,18.14,5.84
2014-08-07,2014,8,7,219,0.59,34.23,21.86,27.16,68.62,19.27,5.52
2014-08-08,2014,8,8,220,1.24,34.4,22.07,27.19,68.96,18.63,4.72
2014-08-09,2014,8,9,221,0.17,34.88,22.05,27.47,67.63,19.65,4.75
2014-08-10,2014,8,10,222,0.03,33.82,22.48,27.32,68.82,18.3,4.73
2014-08-11,2014,8,11,223,1.77,33.94,22.08,27.16,68.79,16.45,3.37
2014-08-12,2014,8,12,224,0.34,33.86,22.58,27.22,67.66,18.49,4.16
2014-08-13,2014,8,13,225,0.03,34.62,21.88,27.4,66.39,17.95,4.58
2014-08-14,2014,8,14,226,0.05,33.63,22.58,27.25,67.64,18.31,4.88
2014-08-15,2014,8,15,227,0.06,33.81,22.6,27.18,67.68,20.66,4.83
2014-08-16,2014,8,16,228,0.21,32.46,22.25,26.53,68.76,17.22,4.48
2014-08-17,2014,8,17,229,0.27,31.5,21.98,26.17,70.56,19.33,3.08
2014-08-18,2014,8,18,230,11.62,32.36,22.61,27.01,70.67,17.95,2.11
2014-08-19,2014,8,19,231,4.91,33.66,23.61,28.33,70.06,20.61,1.39
2014-08-20,2014,8,20,232,0.47,33.45,24.06,28.71,67.99,23.43,1.13
2014-08-21,2014,8,21,233,10.42,32.1,23.64,27.74,72.6,20.75,1.45
2014-08-22,2014,8,22,234,16.47,32.45,23.27,27.41,74.63,17.74,1.82
2014-08-23,2014,8,23,235,6.44,32.74,21.56,27.01,70.78,18.97,2.39
2014-08-24,2014,8,24,236,6.68,35.05,22.41,28.25,69.37,20.37,2.66
2014-08-25,2014,8,25,237,3.09,32.24,23.1,27.2,74.9,19.81,1.85
2014-08-26,2014,8,26,238,7.8,29.28,23.28,25.58,81.57,15.0,2.08
2014-08-27,2014,8,27,239,9.58,30.66,22.1,25.74,75.83,10.06,2.13
2014-08-28,2014,8,28,240,20.85,27.79,21.58,24.17,83.36,9.03,2.58
2014-08-29,2014,8,29,241,24.47,29.19,22.07,24.97,84.13,11.7,2.41
2014-08-30,2014,8,30,242,9.11,27.76,22.53,24.69,86.28,8.88,2.94
2014-08-31,2014,8,31,243,4.06,27.3,21.97,24.14,84.76,12.16,5.21
2014-09-01,2014,9,1,244,0.73,30.54,21.25,24.7,75.94,14.62,6.39
2014-09-02,2014,9,2,245,0.97,32.15,20.58,25.74,74.08,15.85,5.11
2014-09-03,2014,9,3,246,0.74,33.17,21.76,26.57,74.61,16.69,4.92
2014-09-04,2014,9,4,247,2.75,31.98,22.19,26.2,75.73,17.07,4.71
2014-09-05,2014,9,5,248,2.54,30.09,22.0,25.26,78.44,17.58,4.39
2014-09-06,2014,9,6,249,2.33,28.65,21.7,24.69,81.49,14.67,3.57
